cid,sender,content,timestamp
1387759478,Glenda,Hello I’ll be visiting with 4 of my friends for my best friend’s bachelorette trip and hope to have an amazing time in Belize!,2023-01-24 21:29:00
1387759478,Sari,"Hi Glenda,..Thank you for choosing our villa. We look forward to hosting you on your stay in Ambergris Caye, Belize...To further assist you, please download WhatsApp and save your personal concierge's number as it is the best way to communicate when on the island. ..Terri (Concierge).WhatsApp: 011.501.632.3404.Email: Email: terrialdana@gmail.com..We can assist you with all your travel needs, including reserving your travel to the island from Belize City, Golf Carts, the best excursions and adventures, villa prestock, chef services and more!  Get ready to sit back, and relax!  In the meantime, if you have any questions or need any recommendations, please don’t hesitate to ask....Thanks,.Sari & Terri",2023-01-24 21:39:00
1387759478,Glenda,Thank you!,2023-01-24 21:40:00
1387759478,Terri,"Hi Glenda, My name is Terri, I will be your concierge while staying with us. If you have any questions regarding your stay, tours, transportation to the island from the Belize International Airport, golf carts, tours, or anything concerning the island, please do not hesitate and do let us know",2023-01-26 04:50:00
1387759478,Glenda,"Hey Terri, thanks for reaching out! What are the transportation options from BZE airport to the villa?",2023-01-26 19:31:00
1387759478,Terri,".Plane vs water taxi:..\Water taxi:..Once you have landed at the international airport and finished with the customs department. Please head outside the international airport. Here you will see a variety of taxi cabs willing to take you to the water taxi terminal in Belize City (we can arrange this for you). The cost of the taxi cab is approximately 25.00 US for two persons and 10 US Dollars per additional person..After the 30 Minute taxi ride, you will get to the water taxi where you will purchase your water taxi tickets, the cost on this is 55 US Dollars round trip per person..Boat ride is 1 hr 45 min...If you allow me to book the boats for you, I can get the boat tickets at 45 US Dollars round trip per person..Plane:.Once you have arrived at the international airport in Belize City and cleared customs this is what will happen if you choose to come via plane. Inside the international airport you will head directly to your left you will see a kiosk that says Tropic Air, the cost is about 175 US Dollars round trip to San Pedro and back to the international airport per person. The flights leave every hour on the hour from San Pedro to Belize City and Belize City to the island. The flight itself is a beautiful low flying 15 minutes over the Caribbean. If you board first, you can sit next to the pilot!..Once you decide how you wish to come down to the island, I am more than happy to book a flight for you or water taxi.",2023-01-26 19:39:00
1387759478,Glenda,Hello Terri! We are also interested in having a boat day. Do you know how we can rent a boat?,2023-01-30 18:54:00
1387759478,Terri,"Here are a few excursions that you can think about and let me know which one you prefer:..HOL CHAN, SHARK RAY ALLEY: .Snorkeling at holchan and shark ray alley can be done via catamaran for a full day or on a speed boat with pick up from the property for 1/2 day. ..CAYE CAULKER SAIL:.On this trip, you will snorkel at two sites, holchan marine reserve, and Shark Ray Alley (swim with sharks and sting rays). Then you'll head to our beautiful neighboring island Caye Caulker where you will have lunch (not included) and visit the island..Then you'll head back to the boat where you'll enjoy the music and those delicious rum punches!.The cost is $95 plus taxes & park fees, per person.Pick up at 8:30 am and drop off at 4:30 pm (pick up not included since its on a catamaran, must go into town)..SPEED BOAT - 1/2 day TOUR .8:30am or 1:30pm pick up.Head to holchan and shark ray alley.Cost is 75 plus park fees & taxes.Pick up in town would be 55 plus taxes & Fees..THE GRAND SLAM -.Cost $175 per person, need a minimum of 4 people to confirm: this is on a speed boat..8 am & returns at 4 pm.Snorkel at Holchan, Shark Ray Alley & the north channel in Caye Caulker (high chance of snorkeling with manatees and sea horses mother nature permitting), feed the tarpons and stop for lunch (not included), plus park fees and taxes..BEACH BBQ:.My personal top favorite, is the Beach BBQ day, the cost is $650 plus taxes..On this day you'll Snorkel, Fish, Spearfish, Lobster Hunt, Conch Hunt (Only if in season) and have a Beach BBQ cookout on a private beach & enjoy your catch! Ceviche Belizean grilled fish, Rum punches & more!.Price remains the same if 1 or 4 persons go, after 4 then the cost is 95 USD per additional person..These are some of the options on full day tours",2023-01-30 20:01:00
1387759478,Terri,"Renting a boat to go on your own is not possible, since one of the major laws in the country of Belize is that you must have a captain boat license issued in Belize. The reason is because of our reef and some parts of the ocean having shallow water and others have coral head just popping out of no where.",2023-01-30 20:02:00
1387759478,Sari,Hi Glenda you can certainly rent a boat with a boat captain for the day as a part of your Belize Adventure! The Grand Slam and Beach BBQ are the best private boat trip experiences!,2023-02-27 10:10:00
1387759478,Terri,"Glenda, just to clarify, if you want to rent a boat for yourself and drive it yourself, which is not allowed in the country of Belize, you will need a Belizean boat captain license. You can do all day private tour on a boat, like Sari mentioned the Grand Slam and the beach bbq are great options",2023-02-27 11:27:00
1387759478,Glenda,Hello! Sorry on the late response! We will clarify about the boat later. But we would like to know if we can ship Amazon packages to the Airbnb? Not sure if that’s a possibility,2023-04-08 20:19:00
1387759478,Sari,"Hi Glenda! I don't know if you can ship to Belize from the US as US Amazon doesn't ship out of the US, you would have to order from Belize Amazon and you'd have to have them sent to town post office.  I don't think it would be cost effective.  Would be best for you to bring with you from the states.",2023-04-08 21:08:00
1332601306,Walker,"Hi Sari! I'll be visiting with some friends just to get out of the country, get some sun and celebrate our friends engagement anniversary! So excited about this trip :)",2022-11-18 10:32:00
1332601306,Sari,"Hi Walker,..Thank you for choosing our villa. We look forward to hosting you on your stay in Ambergris Caye, Belize...To further assist you, please download WhatsApp and save your personal concierge's number as it is the best way to communicate when on the island. ..Terri (Concierge).WhatsApp: 011.501.632.3404.Email: Email: terrialdana@gmail.com..We can assist you with all your travel needs, including reserving your travel to the island from Belize City, Golf Carts, the best excursions and adventures, villa prestock, chef services and more!  Get ready to sit back, and relax!  In the meantime, if you have any questions or need any recommendations, please don’t hesitate to ask....Thanks,.Sari & Terri",2022-11-18 10:42:00
1332601306,Terri,"Walker, my name is Terri, I will be your concierge while staying with us. If you have any questions regarding your stay, tours, golf carts, and transportation to the island from the Belize international Airport.",2022-11-20 18:58:00
1332601306,Terri,Please do not hesitate and do let us know.,2022-11-20 18:59:00
1332601306,Walker,Thank you so much! One of my friends who’s coming with us reached out already about a few questions but if I think of anything else I’ll be sure to ask :) so excited for this!,2022-11-20 19:06:00
1332601306,Terri,Awesome,2022-11-20 19:53:00
1332601306,Walker,"Hey terri someone in the group was wondering how late the ferry will operate from Belize city to San Pedro,.Thanks!",2023-02-14 21:52:00
1332601306,Terri,5:30 PM is the last water taxi to the island,2023-02-15 09:54:00
1332601306,Walker,"Gotcha, what would be the easiest way for my friend to get to the island if she’s getting in later than that?",2023-02-15 09:59:00
1332601306,Terri,"by plane, what time is her international flight arriving?",2023-02-15 11:26:00
1332601306,Walker,"So she’s arriving at 3:30, but I guess she’s worried about flight delays/customs taking awhile and missing the ferry",2023-02-15 12:20:00
1332601306,Terri,"yes, thats a headache with customs, I highly recommend flying. Just had delays last week on the flight that lands at 3:30 and Tropic Air waited for all guest to arrive and left after 7pm from Belize..The boats do not wait",2023-02-15 12:24:00
1332601306,Walker,Gotcha thank you :) and we were considering renting ATVs instead of golf carts to get around is that possible?,2023-03-01 12:38:00
1332601306,Terri,They don't have ATV rentals here. Only 1 tour company that does tours on ATVs,2023-03-02 14:10:00
1332601306,Sari,"Hey walker,  Zach asked me to share this info here:",2023-03-14 19:41:00
1332601306,Sari,"To get to the island:..We are located on the island of Ambergris Caye also known as Belize's Isla Bonita, made most famous by Madonna's 80s hit! San Pedro is Ambergris Caye. From your arrival at the Philip Goldson International Airport in Belize City you can connect at the airport and take a beautiful 15 minute low flying flight over the Caribbean to San Pedro Town or you can take the ferry.  The flight feels like a mini tour in and of itself, if you board first you can sit next to the pilot. ..To catch the ferry we'llhave a cab driver pick you up at the airport and take you 45 mins to the ferry station.  The ferry will add approximately 2.5 hours or more to your travel day. ..Whichever option you prefer,  Ms. Terri, your personal concierge while staying with us can reserve either travel accommodation to the island on your behalf.  All we need is your international flight details and names as they appear on your passports. ....When renting a golf cart with us, Ms Terri, your personal concierge, will greet you upon arrival to the island at either San Pedro ferry boat drop off or Tropic Air airport. We'll provide 1 complimentary escort to the villa north of town with a luggage carrier in addition to your cart and stop at the local grocery (time permitting). Golf cart parking is to the left after entering the property from the north highway through the main gate...The road could be bumpy with pot holes depending on rains and the last time the town repaved. Does anyone in the group have serious spine injuries?",2023-03-14 19:42:00
1332601306,Sari,"Hey walker! Was talking to Zach, here's the info on the tours.",2023-04-04 17:13:00
